codigo_municipio;nome_municipio;uf;estado;latitude;longitude
351560;Fernando Prestes;SP;Sao Paulo;-21,2661;-48,6874
351550;Fernandópolis;SP;Sao Paulo;-20,2806;-50,2471
351565;Fernão;SP;Sao Paulo;-22,3607;-49,5187
351570;Ferraz de Vasconcelos;SP;Sao Paulo;-23,5411;-46,371
351580;Flora Rica;SP;Sao Paulo;-21,6727;-51,3821
351590;Floreal;SP;Sao Paulo;-20,6752;-50,1513
351600;Flórida Paulista;SP;Sao Paulo;-21,6127;-51,1724
351610;Florínia;SP;Sao Paulo;-22,868;-50,6814
351620;Franca;SP;Sao Paulo;-20,5352;-47,4039
351630;Francisco Morato;SP;Sao Paulo;-23,2792;-46,7448
351640;Franco da Rocha;SP;Sao Paulo;-23,3229;-46,729
351650;Gabriel Monteiro;SP;Sao Paulo;-21,5294;-50,5573
351660;Gália;SP;Sao Paulo;-22,2918;-49,5504
351670;Garça;SP;Sao Paulo;-22,2125;-49,6546
351680;Gastão Vidigal;SP;Sao Paulo;-20,7948;-50,1912
351685;Gavião Peixoto;SP;Sao Paulo;-21,8367;-48,4957
351690;General Salgado;SP;Sao Paulo;-20,6485;-50,364
351700;Getulina;SP;Sao Paulo;-21,7961;-49,9312
351710;Glicério;SP;Sao Paulo;-21,3812;-50,2123
351720;Guaiçara;SP;Sao Paulo;-21,6195;-49,8013
351730;Guaimbê;SP;Sao Paulo;-21,9091;-49,8986
351740;Guaíra;SP;Sao Paulo;-20,3196;-48,312
351750;Guapiaçu;SP;Sao Paulo;-20,7959;-49,2172
351760;Guapiara;SP;Sao Paulo;-24,1892;-48,5295
351770;Guará;SP;Sao Paulo;-20,4302;-47,8236
351780;Guaraçaí;SP;Sao Paulo;-21,0292;-51,2119
351790;Guaraci;SP;Sao Paulo;-20,4977;-48,9391
351800;Guarani d'Oeste;SP;Sao Paulo;-20,0746;-50,3411
351810;Guarantã;SP;Sao Paulo;-21,8942;-49,5914
351820;Guararapes;SP;Sao Paulo;-21,2544;-50,6453
351830;Guararema;SP;Sao Paulo;-23,4112;-46,0369
351840;Guaratinguetá;SP;Sao Paulo;-22,8075;-45,1938
351850;Guareí;SP;Sao Paulo;-23,3714;-48,1837
351860;Guariba;SP;Sao Paulo;-21,3594;-48,2316
351870;Guarujá;SP;Sao Paulo;-23,9888;-46,258
351880;Guarulhos;SP;Sao Paulo;-23,4538;-46,5333
351885;Guatapará;SP;Sao Paulo;-21,4944;-48,0356
351890;Guzolândia;SP;Sao Paulo;-20,6467;-50,6645
351900;Herculândia;SP;Sao Paulo;-22,0038;-50,3907
351905;Holambra;SP;Sao Paulo;-22,6405;-47,0487
351907;Hortolândia;SP;Sao Paulo;-22,8529;-47,2143
351910;Iacanga;SP;Sao Paulo;-21,8896;-49,031
351920;Iacri;SP;Sao Paulo;-21,8572;-50,6932
351925;Iaras;SP;Sao Paulo;-22,8682;-49,1634
351930;Ibaté;SP;Sao Paulo;-21,9584;-47,9882
351940;Ibirá;SP;Sao Paulo;-21,083;-49,2448
351950;Ibirarema;SP;Sao Paulo;-22,8185;-50,0739
351960;Ibitinga;SP;Sao Paulo;-21,7562;-48,8319
351970;Ibiúna;SP;Sao Paulo;-23,6596;-47,223
351980;Icém;SP;Sao Paulo;-20,3391;-49,1915
351990;Iepê;SP;Sao Paulo;-22,6602;-51,0779
352000;Igaraçu do Tietê;SP;Sao Paulo;-22,509;-48,5597
352010;Igarapava;SP;Sao Paulo;-20,0407;-47,7466
352020;Igaratá;SP;Sao Paulo;-23,2037;-46,157
352030;Iguape;SP;Sao Paulo;-24,699;-47,5537
352042;Ilha Comprida;SP;Sao Paulo;-24,7307;-47,5383
352044;Ilha Solteira;SP;Sao Paulo;-20,4326;-51,3426
352040;Ilhabela;SP;Sao Paulo;-23,7785;-45,3552
352050;Indaiatuba;SP;Sao Paulo;-23,0816;-47,2101
352060;Indiana;SP;Sao Paulo;-22,1738;-51,2555
352070;Indiaporã;SP;Sao Paulo;-19,979;-50,2909
352080;Inúbia Paulista;SP;Sao Paulo;-21,7695;-50,9633
352090;Ipaussu;SP;Sao Paulo;-23,0575;-49,6279
352100;Iperó;SP;Sao Paulo;-23,3513;-47,6927
352110;Ipeúna;SP;Sao Paulo;-22,4355;-47,7151
352115;Ipiguá;SP;Sao Paulo;-20,6557;-49,3842
352120;Iporanga;SP;Sao Paulo;-24,5847;-48,5971
352130;Ipuã;SP;Sao Paulo;-20,4438;-48,0129
352140;Iracemápolis;SP;Sao Paulo;-22,5832;-47,523
352150;Irapuã;SP;Sao Paulo;-21,2768;-49,4164
352160;Irapuru;SP;Sao Paulo;-21,5684;-51,3472
352170;Itaberá;SP;Sao Paulo;-23,8638;-49,14
352180;Itaí;SP;Sao Paulo;-23,4213;-49,092
352190;Itajobi;SP;Sao Paulo;-21,3123;-49,0629
352200;Itaju;SP;Sao Paulo;-21,9857;-48,8116
352210;Itanhaém;SP;Sao Paulo;-24,1736;-46,788
352215;Itaóca;SP;Sao Paulo;-24,6393;-48,8413
352220;Itapecerica da Serra;SP;Sao Paulo;-23,7161;-46,8572
352230;Itapetininga;SP;Sao Paulo;-23,5886;-48,0483
352240;Itapeva;SP;Sao Paulo;-23,9788;-48,8764
352250;Itapevi;SP;Sao Paulo;-23,5488;-46,9327
352260;Itapira;SP;Sao Paulo;-22,4357;-46,8224
352265;Itapirapuã Paulista;SP;Sao Paulo;-24,572;-49,1661
352270;Itápolis;SP;Sao Paulo;-21,5942;-48,8149
352280;Itaporanga;SP;Sao Paulo;-23,7043;-49,4819
352290;Itapuí;SP;Sao Paulo;-22,2324;-48,7197
352300;Itapura;SP;Sao Paulo;-20,6419;-51,5063
352310;Itaquaquecetuba;SP;Sao Paulo;-23,4835;-46,3457
352320;Itararé;SP;Sao Paulo;-24,1085;-49,3352
352330;Itariri;SP;Sao Paulo;-24,2834;-47,1736
352340;Itatiba;SP;Sao Paulo;-23,0035;-46,8464
352350;Itatinga;SP;Sao Paulo;-23,1047;-48,6157
352360;Itirapina;SP;Sao Paulo;-22,2562;-47,8166
352370;Itirapuã;SP;Sao Paulo;-20,6416;-47,2194
352380;Itobi;SP;Sao Paulo;-21,7309;-46,9743
352390;Itu;SP;Sao Paulo;-23,2544;-47,2927
352400;Itupeva;SP;Sao Paulo;-23,1526;-47,0593
352410;Ituverava;SP;Sao Paulo;-20,3355;-47,7902
352420;Jaborandi;SP;Sao Paulo;-20,6884;-48,4112
352430;Jaboticabal;SP;Sao Paulo;-21,252;-48,3252
352440;Jacareí;SP;Sao Paulo;-23,2983;-45,9658
352450;Jaci;SP;Sao Paulo;-20,8805;-49,5797
352460;Jacupiranga;SP;Sao Paulo;-24,6963;-48,0064
352470;Jaguariúna;SP;Sao Paulo;-22,7037;-46,9851
352480;Jales;SP;Sao Paulo;-20,2672;-50,5494
352490;Jambeiro;SP;Sao Paulo;-23,2522;-45,6942
352500;Jandira;SP;Sao Paulo;-23,5275;-46,9023
352510;Jardinópolis;SP;Sao Paulo;-21,0176;-47,7606
352520;Jarinu;SP;Sao Paulo;-23,1039;-46,728
352530;Jaú;SP;Sao Paulo;-22,2936;-48,5592
352540;Jeriquara;SP;Sao Paulo;-20,3116;-47,5918
352550;Joanópolis;SP;Sao Paulo;-22,927;-46,2741
352560;João Ramalho;SP;Sao Paulo;-22,2473;-50,7694
352570;José Bonifácio;SP;Sao Paulo;-21,0551;-49,6892
352580;Júlio Mesquita;SP;Sao Paulo;-22,0112;-49,7873
352585;Jumirim;SP;Sao Paulo;-23,0884;-47,7868
352590;Jundiaí;SP;Sao Paulo;-23,1852;-46,8974
352600;Junqueirópolis;SP;Sao Paulo;-21,5103;-51,4342
352610;Juquiá;SP;Sao Paulo;-24,3101;-47,6426
352620;Juquitiba;SP;Sao Paulo;-23,9244;-47,0653
352630;Lagoinha;SP;Sao Paulo;-23,0846;-45,1944
