id_hospital;nome_hospital;codigo_municipio;nome_municipio_hospital;uf_hospital;estado_hospital;latitude_hospital;longitude_hospital;leitos_totais;leitos_sus;leitos_nao_sus;tipo_unidade;nivel_hierarquico;natureza_juridica;porte_hospitalar;alta_complexidade;percentual_sus
2093324;Hospital CNES 2093324;351550;Fernandópolis;SP;Sao Paulo;-20,2806;-50,2471;1512;1116;396;05;;3999;Grande Porte;Baixa/Media Complexidade;73,81
2093332;Hospital CNES 2093332;354660;Santa Fé do Sul;SP;Sao Paulo;-20,2083;-50,932;1092;804;288;05;;3999;Grande Porte;Baixa/Media Complexidade;73,63
2093405;Hospital CNES 2093405;353260;Nhandeara;SP;Sao Paulo;-20,6945;-50,0436;960;132;828;07;;3999;Grande Porte;Baixa/Media Complexidade;13,75
2093502;Hospital CNES 2093502;353260;Nhandeara;SP;Sao Paulo;-20,6945;-50,0436;588;288;300;05;;3999;Grande Porte;Baixa/Media Complexidade;48,98
2093677;Hospital CNES 2093677;350550;Barretos;SP;Sao Paulo;-20,5531;-48,5698;60;60;0;70;;1244;Medio Porte;Baixa/Media Complexidade;100,0
2095777;Hospital CNES 2095777;352590;Jundiaí;SP;Sao Paulo;-23,1852;-46,8974;60;60;0;70;;1244;Medio Porte;Baixa/Media Complexidade;100,0
2095912;Hospital CNES 2095912;351200;Colina;SP;Sao Paulo;-20,7114;-48,5387;768;612;156;05;;3999;Grande Porte;Baixa/Media Complexidade;79,69
2096005;Hospital CNES 2096005;353130;Monte Alto;SP;Sao Paulo;-21,2655;-48,4971;420;72;348;05;;2143;Grande Porte;Baixa/Media Complexidade;17,14
2096196;Hospital CNES 2096196;350920;Cajamar;SP;Sao Paulo;-23,355;-46,8781;612;492;120;05;;1244;Grande Porte;Baixa/Media Complexidade;80,39
2096412;Hospital CNES 2096412;352440;Jacareí;SP;Sao Paulo;-23,2983;-45,9658;1716;1668;48;05;;3999;Grande Porte;Baixa/Media Complexidade;97,2
2096463;Hospital CNES 2096463;353070;Mogi Guaçu;SP;Sao Paulo;-22,3675;-46,9428;2336;1572;764;05;;3999;Grande Porte;Baixa/Media Complexidade;67,29
