id_hospital;codigo_municipio;nome_municipio_hospital;uf_hospital;estado_hospital;latitude_hospital;longitude_hospital;leitos_totais;leitos_sus;leitos_nao_sus;esfera;tipo_unidade;nivel_hierarquico;natureza_juridica;porte_hospitalar;alta_complexidade;percentual_sus
6148956;355030;São Paulo;SP;Sao Paulo;-23,5329;-46,6395;113;0;113;;05;;2054;Medio Porte;Baixa/Media Complexidade;0,0
6164366;350170;Américo Brasiliense;SP;Sao Paulo;-21,7288;-48,1147;84;84;0;;05;;1023;Medio Porte;Baixa/Media Complexidade;100,0
6166598;354850;Santos;SP;Sao Paulo;-23,9535;-46,335;8;8;0;;62;;1023;Micro Porte;Baixa/Media Complexidade;100,0
6169767;354340;Ribeirão Preto;SP;Sao Paulo;-21,1699;-47,8099;6;6;0;;70;;1244;Micro Porte;Baixa/Media Complexidade;100,0
6194168;352590;Jundiaí;SP;Sao Paulo;-23,1852;-46,8974;65;0;65;;05;;2143;Medio Porte;Baixa/Media Complexidade;0,0
6208940;351340;Cruzeiro;SP;Sao Paulo;-22,5728;-44,969;2;0;2;;62;;2062;Micro Porte;Baixa/Media Complexidade;0,0
6209114;354990;São José dos Campos;SP;Sao Paulo;-23,1896;-45,8841;7;0;7;;05;;1015;Micro Porte;Baixa/Media Complexidade;0,0
6210937;353080;Mogi Mirim;SP;Sao Paulo;-22,4332;-46,9532;66;0;66;;05;;2062;Medio Porte;Baixa/Media Complexidade;0,0
6212328;355030;São Paulo;SP;Sao Paulo;-23,5329;-46,6395;12;0;12;;73;;2054;Micro Porte;Baixa/Media Complexidade;0,0
6212581;354580;Santa Bárbara d'Oeste;SP;Sao Paulo;-22,7553;-47,4143;12;12;0;;36;;1023;Micro Porte;Baixa/Media Complexidade;100,0
6221165;351380;Diadema;SP;Sao Paulo;-23,6813;-46,6205;16;16;0;;70;;1244;Pequeno Porte;Baixa/Media Complexidade;100,0
6233848;351050;Caraguatatuba;SP;Sao Paulo;-23,6125;-45,4125;6;6;0;;62;;1023;Micro Porte;Baixa/Media Complexidade;100,0
6236596;354980;São José do Rio Preto;SP;Sao Paulo;-20,8113;-49,3758;95;95;0;;05;;1023;Medio Porte;Baixa/Media Complexidade;100,0
6245838;355030;São Paulo;SP;Sao Paulo;-23,5329;-46,6395;9;9;0;;70;;1031;Micro Porte;Baixa/Media Complexidade;100,0
6255337;354990;São José dos Campos;SP;Sao Paulo;-23,1896;-45,8841;23;0;23;;62;;2062;Pequeno Porte;Baixa/Media Complexidade;0,0
6267521;351380;Diadema;SP;Sao Paulo;-23,6813;-46,6205;16;16;0;;70;;1244;Pequeno Porte;Baixa/Media Complexidade;100,0
6271855;355030;São Paulo;SP;Sao Paulo;-23,5329;-46,6395;3;0;3;;36;;2062;Micro Porte;Baixa/Media Complexidade;0,0
6273270;354870;São Bernardo do Campo;SP;Sao Paulo;-23,6914;-46,5646;98;0;98;;07;;2054;Medio Porte;Baixa/Media Complexidade;0,0
6283993;355030;São Paulo;SP;Sao Paulo;-23,5329;-46,6395;96;0;96;;05;;2054;Medio Porte;Baixa/Media Complexidade;0,0
6284582;353870;Piracicaba;SP;Sao Paulo;-22,7338;-47,6476;12;12;0;;62;;1023;Micro Porte;Baixa/Media Complexidade;100,0
6289304;350550;Barretos;SP;Sao Paulo;-20,5531;-48,5698;10;10;0;;62;;1023;Micro Porte;Baixa/Media Complexidade;100,0
6291635;353390;Olímpia;SP;Sao Paulo;-20,7366;-48,9106;3;2;1;;62;;2062;Micro Porte;Baixa/Media Complexidade;66,67
6293433;354980;São José do Rio Preto;SP;Sao Paulo;-20,8113;-49,3758;2;0;2;;62;;2062;Micro Porte;Baixa/Media Complexidade;0,0
6311253;355030;São Paulo;SP;Sao Paulo;-23,5329;-46,6395;4;0;4;;62;;2062;Micro Porte;Baixa/Media Complexidade;0,0
6311482;355410;Taubaté;SP;Sao Paulo;-23,0104;-45,5593;4;0;4;;62;;2062;Micro Porte;Baixa/Media Complexidade;0,0
6317154;350610;Bebedouro;SP;Sao Paulo;-20,9491;-48,4791;1;0;1;;62;;2240;Micro Porte;Baixa/Media Complexidade;0,0
6335500;350550;Barretos;SP;Sao Paulo;-20,5531;-48,5698;1;0;1;;36;;2062;Micro Porte;Baixa/Media Complexidade;0,0
6336302;355030;São Paulo;SP;Sao Paulo;-23,5329;-46,6395;10;10;0;;70;;1031;Micro Porte;Baixa/Media Complexidade;100,0
